frequency,s11
170300601.20240584 0.0,-0.3833532654521796 0.9235579192237386
170681362.72545195 0.0,-0.37713403988432437 0.9261161986459817
171062124.24849805 0.0,-0.37095074165454944 0.9286113937504831
171442885.77154416 0.0,-0.36480327055396505 0.9310447676360346
171823647.29459026 0.0,-0.3586915196544207 0.9334175535788646
172204408.81763637 0.0,-0.3526153757023172 0.9357309558980308
172585170.34068248 0.0,-0.3465747194928935 0.9379861507898548
172965931.86372858 0.0,-0.34056942622601527 0.9401842871327537
173346693.3867747 0.0,-0.3345993658444337 0.9423264872637452
173727454.9098208 0.0,-0.32866440335541247 0.9444138477278475
174108216.4328669 0.0,-0.32276439913659205 0.946447440001525
174488977.955913 0.0,-0.3168992092268874 0.948428311191272
174869739.4789591 0.0,-0.31106868560319256 0.9503574847083746
175250501.00200522 0.0,-0.30527267644359624 0.9522359609208405
175631262.52505133 0.0,-0.2995110263777976 0.9540647177834304
176012024.04809743 0.0,-0.2937835767253665 0.9558447114466829
176392785.57114354 0.0,-0.28809016572243995 0.957576876845789
176773547.09418964 0.0,-0.2824306287374454 0.9592621282701098
177154308.61723575 0.0,-0.27680479847637485 0.9609013599141214
177535070.14028186 0.0,-0.2712125051781382 0.9624954464105087
177915831.66332796 0.0,-0.26565357680046997 0.9640452433461104
178296593.18637407 0.0,-0.2601278391968542 0.9655515877613793
178677354.70942017 0.0,-0.2546351162849012 0.967015298633994
179058116.23246628 0.0,-0.24917523020658683 0.9684371773472252
179438877.7555124 0.0,-0.24374800148074738 0.9698180081436371
179819639.2785585 0.0,-0.23835324914820033 0.9711585585646746
180200400.8016046 0.0,-0.23299079090984076 0.9724595798766594
180581162.3246507 0.0,-0.22766044325804405 0.9737218074837104
180961923.8476968 0.0,-0.2223620216017015 0.9749459613280541
